pathway,set_size,overlap,p_value,example_genes,fdr
Estrogen Response Early,186,121,8.362604852444794e-45,"ABAT, ABCA3, ABHD2, ADCY1, ADCY9, AKAP1, ALDH3B1, ANXA9, AQP3, AREG, ASB13, B4GALT1",4.1813024262223975e-43
Estrogen Response Late,196,103,8.330625804467475e-27,"ABCA3, ABHD2, ALDH3B1, ANXA9, AREG, ASCL1, ATP2B4, BATF, BCL2, BLVRB, CA12, CALCR",2.0826564511168687e-25
Hypoxia,185,50,0.005395101236084386,"ALDOA, ANXA2, ATF3, B4GALNT2, BCL2, BHLHE40, BTG1, CA12, DPYSL4, EDN2, EFNA3, EGFR",0.08991835393473975
Androgen Response,93,28,0.007502790552129768,"ABHD2, ACSL3, ACTN1, ALDH1A3, ANKH, B4GALT1, CCND1, DNAJB9, GPD1L, GSR, HOMER2, INPP4B",0.0937848819016221
TNF-alpha Signaling via NF-kB,189,49,0.01340762398343592,"AREG, ATF3, B4GALT1, BCL3, BCL6, BHLHE40, BTG1, BTG2, CCND1, CD44, DUSP4, EDN1",0.13407623983435918
Xenobiotic Metabolism,193,49,0.019768127627639145,"ABCC3, ACO2, ACOX1, ACP2, ACSM1, ATP2A2, BCAR1, BLVRB, CYP1A1, CYP1A2, CYP26A1, CYP27A1",0.16473439689699287
TGF-beta Signaling,53,16,0.03712102700670606,"BMPR1A, CDH1, ENG, FKBP1A, HIPK2, ID1, KLF10, NCOR2, PMEPA1, RAB31, SKIL, SMAD3",0.2651501929050433
UV Response Dn,135,32,0.11401141529487561,"ANXA2, ATP2B4, BHLHE40, BMPR1A, CAP2, CDON, DDAH1, DYRK1A, FHL2, ID1, IGFBP5, INPP4B",0.7125713455929726
Apical Surface,42,11,0.170958625650502,"AFAP1L2, ATP8B1, B4GALT1, CD160, GATA3, HSPB1, MAL, MDGA1, RHCG, RTN4RL1, SLC2A4",0.9000609807745985
Pperoxisome,99,23,0.1877789969613511,"ABCC5, ABCC8, ACOX1, CADM1, CLN8, CTBP1, DHRS3, EHHADH, ESR2, FABP6, HSD11B2, IDH2",0.9000609807745985
p53 Pathway,187,41,0.19801341577041168,"ABAT, ABCC5, ATF3, BTG1, BTG2, CCNK, CD82, CTSD, DEF6, EPS8L2, FDXR, FOS",0.9000609807745985
IL-2/STAT5 Signaling,184,40,0.21866488330222122,"BATF, BCL2, BCL2L1, BHLHE40, CASP3, CD44, CTSZ, CYFIP1, DHRS3, ETV4, GADD45B, GSTO1",0.9111036804259217
Glycolysis,189,40,0.2778635714641167,"AK3, ALDOA, ARTN, B3GNT3, B4GALT1, CD44, DPYSL4, EFNA3, EGFR, ELF3, EXT2, FBP2",0.9999804631704005
Apical Junction,192,40,0.31617774691050854,"ACTB, ACTG1, ACTN1, ACTN4, ADRA1B, B4GALT1, CD209, CD276, CD34, CDH1, CDH4, CLDN14",0.9999804631704005
mTORC1 Signaling,186,38,0.3716550191648166,"ACSL3, ALDOA, ATP2A2, BHLHE40, BTG2, CD9, CYP51A1, DHCR7, EDEM1, FDXR, GAPDH, GBE1",0.9999804631704005
Hedgehog Signaling,34,7,0.49170852027031836,"HEY1, LDB1, NRCAM, NRP1, PML, SHH, TLE3",0.9999804631704005
KRAS Signaling Dn,187,36,0.5349301131006385,"ADRA2C, BTG2, CALML5, CDKAL1, CELSR2, CKM, COL2A1, EDAR, EDN1, EDN2, FGFR3, GP2",0.9999804631704005
Wnt-beta Catenin Signaling,41,8,0.548133089469813,"AXIN1, AXIN2, HEY1, JAG2, NCOR2, PPARD, TCF7, WNT1",0.9999804631704005
Adipogenesis,183,35,0.5527326479379371,"ABCB8, ACO2, ACOX1, ADCY6, ADIPOQ, ALDOA, BCL2L13, BCL6, DECR1, DHCR7, DNAJB9, ENPP2",0.9999804631704005
KRAS Signaling Up,192,36,0.6057961274669694,"ACE, ADAM8, ALDH1A3, ANKH, ANO1, APOD, ATG10, CBX8, ENG, ETV4, FLT4, GADD45G",0.9999804631704005
Myogenesis,198,37,0.6155241038168238,"ADCY9, ANKRD2, APOD, BDKRB2, BHLHE40, BIN1, CAMK2B, CKM, DMPK, EPHB3, FABP3, FST",0.9999804631704005
Pancreas Beta Cells,38,7,0.6189693783272601,"ABCC8, CHGA, DCX, GCK, INS, INSM1, NEUROG3",0.9999804631704005
Myc Targets V2,55,10,0.6365873093536364,"DDX18, GRWD1, HK2, MYBBP1A, PPRC1, RRP12, SRM, TCOF1, UNG, UTP20",0.9999804631704005
Cholesterol Homeostasis,72,13,0.652086782851703,"ACTG1, ATF3, CD9, CYP51A1, DHCR7, FASN, FDFT1, GUSB, LDLR, PMVK, S100A11, SEMA3B",0.9999804631704005
Reactive Oxygen Species Pathway,45,8,0.6608247009266872,"GCLM, GLRX, GPX3, GSR, NQO1, PRDX1, PRDX6, SBNO2",0.9999804631704005
Angiogenesis,34,6,0.6640484026603211,"JAG2, NRP1, PDGFA, PRG2, SLCO2A1, VAV2",0.9999804631704005
Bile Acid Metabolism,111,20,0.6717360123979572,"ABCA3, APOA1, BMP6, CYP27A1, FDXR, GCLM, IDH2, ISOC1, LIPE, LONP2, MLYCD, NPC1",0.9999804631704005
UV Response Up,150,27,0.6898136909941998,"ALDOA, AQP3, ATF3, ATP6V1C1, ATP6V1F, BSG, BTG1, BTG2, CASP3, CLTB, COL2A1, CYP1A1",0.9999804631704005
Epithelial Mesenchymal Transition,191,34,0.7303695681798832,"ACTA2, ANPEP, AREG, CADM1, CAP2, CD44, COL16A1, COMP, ELN, FBLN1, FLNA, GADD45B",0.9999804631704005
Notch Signaling,31,5,0.7413694292964002,"ARRB1, CCND1, FBXW11, LFNG, PPARD",0.9999804631704005
Coagulation,134,23,0.7682310936902155,"APOA1, APOC3, C1QA, C9, CD9, COMP, CPB2, CSRP1, CTSE, CTSH, F13B, HMGCS2",0.9999804631704005
Apoptosis,157,27,0.7793727848812042,"ADD1, ANKH, ATF3, BCL2L1, BTG2, CASP3, CASP7, CCND1, CD44, DAP3, DNAJA1, DNM1L",0.9999804631704005
