chrom,start,end,symbol,distance_to_TSS
chr1,998864,999397,AL390719.47-1,10823
chr1,999399,999604,AL390719.47-1,11194
chr1,1004343,1005146,AL390719.47-1,16437
chr1,1070346,1071080,hsa-mir-200b,21633
chr1,1305474,1306502,RP5-890O3.3,2082
chr1,1358287,1358744,VWA1,2256
chr1,1776987,1777750,GNB1,34986
chr1,1820476,1821168,GNB1,8468
chr1,1922754,1923628,KIAA1751,1944
chr1,2131962,2132747,C1orf86,9958
chr1,2325805,2326447,PEX10,7743
chr1,2368996,2369977,MORN1,23408
chr1,3388677,3389280,ARHGEF16,27879
chr1,3550736,3551333,WDR8,5469
chr1,3738648,3738995,KIAA0562,24835
chr1,3738997,3739245,KIAA0562,24535
chr1,4123343,4124243,RP11-374C13.1,12025
chr1,6140266,6141220,CHD5,22026
chr1,6239204,6240090,GPR153,3974
chr1,6242140,6242909,GPR153,1097
chr1,6465762,6466485,TNFRSF25,17269
chr1,6594235,6594910,PHF13,1759
chr1,6605277,6605879,THAP3,1934
chr1,7211185,7211898,U1,9535
chr1,8173915,8174474,RP11-431K24.2,1724
chr1,8177277,8177834,RP11-431K24.2,5085
chr1,8180389,8181452,U1,8323
chr1,8185306,8185737,U1,3722
chr1,8185757,8186400,U1,3165
chr1,9020601,9021766,SLC2A7,12193
chr1,9308609,9309040,SPSB1,33254
chr1,9845534,9845978,CLSTN1,38620
chr1,10001258,10001688,UBE4B,14129
chr1,10733808,10734356,CASZ1,45211
chr1,10734722,10735563,CASZ1,44151
chr1,11036078,11036652,SRM,6312
chr1,11114361,11115148,AL391561.20,20239
chr1,11466674,11467075,PTCHD2,4993
chr1,11467077,11467181,PTCHD2,5248
chr1,11467183,11467591,PTCHD2,5506
chr1,11957812,11958670,MFN2,4714
chr1,12414271,12414856,AL109757.14,22673
chr1,12436444,12437136,AL109757.14,44900
chr1,12468310,12468769,AL031296.1,44522
chr1,12468938,12469666,AL031296.1,43759
chr1,12532063,12532677,AL031296.1,19309
chr1,12532679,12533101,U6atac,19796
chr1,12582801,12583602,DHRS3,17179
chr1,13712878,13713636,LRRC38,429
chr1,13776812,13777641,PDPN,5612
chr1,15428913,15429591,FHAD1,6555
chr1,15604041,15604962,EFHD2,4518
chr1,15662160,15662679,RP11-265F14.1,6609
chr1,15681826,15682804,RP11-265F14.2,7133
chr1,15999697,15999959,RP11-169K16.7,6902
chr1,16713077,16713428,U1,114
chr1,16807128,16808359,NBPF1,4825
chr1,16820278,16820589,NBPF1,7865
chr1,16912344,16912801,ESPNP,6666
chr1,17254975,17255809,SDHB,2141
chr1,17258682,17259270,SDHB,5725
chr1,17297819,17298413,PADI2,20418
chr1,17436258,17436471,PADI3,11815
chr1,17444429,17444837,PADI3,3546
chr1,17503141,17503766,PADI4,3823
chr1,17513577,17513879,PADI4,6452
chr1,17513881,17514541,PADI4,6935
chr1,17514927,17515448,PADI4,7911
chr1,17611304,17611772,RCC2,27268
chr1,17667793,17668704,RCC2,29442
chr1,17671633,17672385,RCC2,33203
chr1,17719195,17719559,ARHGEF10L,19539
chr1,17719561,17720098,ARHGEF10L,19087
chr1,17724265,17725038,ARHGEF10L,14265
chr1,17728314,17729154,ARHGEF10L,10182
chr1,17758941,17759709,ARHGEF10L,20409
chr1,17760507,17760962,ARHGEF10L,21818
chr1,17761020,17761418,ARHGEF10L,22303
chr1,17776418,17777363,ARHGEF10L,37974
chr1,19055044,19055352,TAS1R2,3543
chr1,19076106,19076682,TAS1R2,17653
chr1,19130735,19131286,IFFO2,23919
chr1,19555521,19556337,PQLC2,44603
chr1,19624811,19625356,AL445163.22,1619
chr1,19670913,19671338,CAPZB,13468
chr1,19671340,19671370,CAPZB,13238
chr1,19671372,19671945,CAPZB,12935
chr1,19686483,19687389,CAPZB,2343
chr1,19781068,19781840,C1orf151,14599
chr1,19792134,19792923,C1orf151,3525
chr1,19795545,19795676,C1orf151,443
chr1,19795678,19796232,C1orf151,98
chr1,21600716,21601593,RP11-560O15.1,4088
chr1,22002608,22003410,LDLRAD2,8335
chr1,22103821,22104694,RP11-26H16.1,2920
chr1,22611660,22612025,ZBTB40,39088
chr1,22612027,22612056,ZBTB40,38889
chr1,22612058,22612497,ZBTB40,38653
chr1,22668247,22669158,ZBTB40,17772
chr1,22671374,22672264,ZBTB40,20889
chr1,22672266,22672328,ZBTB40,21367
chr1,22672330,22672874,ZBTB40,21672
chr1,22726221,22726632,EPHA8,36164
chr1,22824941,22825553,C1QA,10457
chr1,23505239,23506055,HNRNPR,37792
chr1,23672429,23672956,ASAP3,10592
chr1,23730028,23730430,E2F2,70
chr1,24156181,24156805,PNRC2,2411
chr1,24200148,24200865,RPL36P5,7089
chr1,24217569,24218499,RPL36P5,10439
chr1,24766971,24767946,RP11-496D1.2,4781
chr1,24769487,24770111,RP11-496D1.2,7122
chr1,24799573,24800457,RP11-496D1.2,37338
chr1,24804389,24805482,SRRM1,37245
chr1,24831600,24832136,SRRM1,10312
chr1,24832138,24832366,SRRM1,9928
chr1,24968679,24969413,CLIC4,24612
chr1,25657653,25658078,TMEM57,27860
chr1,25658080,25658325,TMEM57,28197
chr1,25767117,25767778,AL606491.19-1,14225
chr1,25770677,25771358,AL606491.19-1,10655
chr1,25955825,25956223,SEPN1,43229
chr1,25956263,25956720,SEPN1,42762
chr1,26560719,26561364,AL451139.40,7868
chr1,27113229,27113921,NR0B2,529
chr1,27145954,27146623,C1orf172,13195
chr1,27147233,27147669,C1orf172,12032
chr1,27843889,27844768,CCDC72,4188
chr1,28362319,28362832,AL137792.11-3,20637
chr1,28362834,28363206,AL137792.11-3,21082
chr1,28719226,28719908,AL513497.21-1,2993
